Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Tiger Trio's Tasty Travels,"11,99 €*",• Puzle,20-05-2021,¡¿Otra vez?! Montones de pedidos incorrectos.
Fate Of The Pharaoh,"9,99 €0,99 €*","• Estrategia, Simulación",20-05-2021,Build your glorious Egyptian towns and expand your realm in glory and prosper!
Baldur's Gate: Dark Alliance,"29,99 €*","• Acción, Aventura, Rol (RPG)",20-05-2021,Comienza un nuevo Legado…
Tales of Djungarian Hamster,"7,60 €*","• Educativo, Estrategia, Simulación",20-05-2021,A story of Djungarian hamsters created by you and Hamster fairy.
FIGHTING EX LAYER ANOTHER DASH,"0,00 €*","• Arcade, Lucha",20-05-2021,¡Comienza el capítulo 2 de Fighting EX Layer!
Arcade Archives TASK FORCE HARRIER,"6,99 €*","• Arcade, Disparos (Shooter)",20-05-2021,Defend the world from a coup! Special air force combat commences!
Undead Battle Royale,"7,50 €*","• Disparos (Shooter), Fiesta, Lucha",20-05-2021,¡Destruye a los zombis y hazte con el marcador en el modo de supervivencia de multijugador cooperativo/competitivo!
CLANNAD Side Stories,"39,99 €*","• Aventura, Otros",20-05-2021,Presenting CLANNAD Side Stories: a fully-voiced collection of 16 vignettes set before and after the events of CLANNAD!
Outbreak: Endless Nightmares,"19,99 €*","• Acción, Aventura, Disparos (Shooter), Rol (RPG)",19-05-2021,Experimenta el verdadero horror en este roguelike de terror de supervivencia cooperativo.
0 Degrees,"4,99 €*","• Acción, Plataformas, Puzle",19-05-2021,¡Recorre un mundo invernal en esta aventura de plataformas!
Aerial_Knight's Never Yield,"11,99 €*","• Acción, Música, Plataformas",19-05-2021,"Corre, salta, deslízate y acelera para ejecutar todo tipo de acrobacias y combinaciones estilizadas, y enfréntate a los desafíos que te aguardan."
Sunless Skies: Sovereign Edition,"23,99 €*","• Aventura, Rol (RPG)",19-05-2021,EL FIRMAMENTO ES TODO TUYO
Xylophone,"8,99 €*","• Educativo, Música, Uso práctico",19-05-2021,
Arcaea,"39,99 €*","• Arcade, Música",18-05-2021,Experience a new dimension of rhythm game in a forgotten world filled with memories...
Leisure Suit Larry - Wet Dreams Dry Twice,"39,99 €*","• Aventura, Puzle",18-05-2021,"¡Hola, chicas: hora de mojarse de nuevo! Aún no he acabado con lo mío y sigo soñando con vosotras en Leisure Suit Larry – Wet Dreams Dry Twice."
Child of Light Ultimate Edition & Valiant Hearts: The Great War Bundle,"29,99 €*","• Aventura, Plataformas",18-05-2021,Child of Light Ultimate Edition Acompaña a Aurora en su aventura para salvar a su padre enfermo y un reino perdido en el mundo mágico de Lemuria. Por el camino descubrirá que su destino puede ser más grande de lo que jamás soñó.
Geminose: Animal Popstars,"24,99 €*",• Música,18-05-2021,¡Reúne la banda y embárcate en una aventura global de música y cultura con fantásticos animales músicos de todo el mundo en Geminose: Animal Popstars!
Chess Knights: Shinobi,"3,99 €*","• Estrategia, Otros, Puzle, Tablero",18-05-2021,"An original turn-based puzzle game inspired by Chess. Become a Ninja in feudal Japan and prove your skills in the art of infiltration, sabotage and assassination."
Jetboard Joust,"9,99 €1,99 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",18-05-2021,"¡Una mezcla de SHMUP, rápido y fluido, y roguelike moderno y duro! Surca los cielos en un jetboard letal y tuneado mientras te cargas a alienígenas invasores con un arsenal explosivo de arma"
SnowRunner,"39,99 €*","• Carreras, Simulación",18-05-2021,¡Prepárate para la nueva generación de esta experiencia campo a través!
INSTANT SPORTS TENNIS,"14,99 €1,49 €*","• Arcade, Deportes",16-05-2021,Es facilísimo aprender a jugar gracias a los controles de movimiento: ¡solo hay que usar el mando Joy-Con como si fuera una raqueta de tenis!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
PROJECT : KNIGHT,"4,99 €*","• Acción, Arcade, Aventura, Rol (RPG)",15-05-2021,"In my dreams, I see that island. I'm now there, and there is no turning back. A lonely knight on a deadly island."
Turbo Skiddy Racing,"4,99 €*",• Carreras,15-05-2021,"Compite con hasta 4 coches, conducidos por la IA o por jugadores locales, en 14 pistas; como corredor experimentado, tendrás que gestionar la conducción de tu coche en parachoques y saltos, carreteras de bucle e incluso hielo."
Subnautica,"29,99 €*",• Aventura,14-05-2021,Sumérgete en las profundidades de un mundo extraterrestre lleno de maravilla y peligro.
Subnautica: Below Zero,"29,99 €*",• Aventura,14-05-2021,Sumérgete en una aventura congelante en un planeta alienígena.
#1 Anagrams,"3,99 €*","• Educativo, Puzle, Tablero",14-05-2021,¡¡Más letras de las que puedas manejar!!
Bounce Mania,"3,99 €*",• Arcade,14-05-2021,Bounce Mania es un juego de desplazamiento lateral sin fin en el que haces rebotar pelotas y otros personajes en plataformas mientras recoges diversos potenciadores. Este viaje experimental a mundos magníficos te exigirá concentración y destreza.
"#Wish travel, Super Puzzles Dream","5,99 €*","• Educativo, Puzle, Tablero",14-05-2021,Sin diversión no hay « Super Puzzles Dream ».
Famicom Detective Club: The Missing Heir & Famicom Detective Club: The Girl Who Stands Behind,"59,99 €*",• Aventura,14-05-2021,Saca la verdad a la luz en Famicom Detective Club: The Missing Heir y Famicom Detective Club: The Girl Who Stands Behind.
Quantum Replica,"9,99 €*","• Acción, Estrategia, Otros",14-05-2021,"Controla el tiempo, recupera tus recuerdos."
Karma. Incarnation 1,"11,99 €*","• Aventura, Puzle",14-05-2021,
Rabisco+,"4,99 €*","• Arcade, Aventura, Puzle",14-05-2021,¡Una mecánica de juego tierna y desafiante a la vez!
Classic Solitaire,"4,99 €*","• Arcade, Otros, Puzle, Tablero",14-05-2021,
Tank Battle Retro,"4,99 €*","• Acción, Arcade, Fiesta",14-05-2021,
Solitaire Card Games,"5,90 €2,95 €*","• Arcade, Estrategia, Puzle, Tablero",13-05-2021,"Enjoy a small collection of three solitaire card games, the classic klondike, tripeaks and spider solitaire in a simple and cartoony art style."
Space Commander: War and Trade,"9,99 €1,49 €*","• Acción, Arcade, Disparos (Shooter), Rol (RPG)",13-05-2021,"Become a space pilot, explore the stars, trade, and lead your fleet across the galaxy in Space Commander: War and Trade!"
Rise Eterna,"19,99 €1,99 €*","• Aventura, Estrategia, Rol (RPG)",13-05-2021,Descubre la historia de Lua y desvela los misterios que rodean a sus orígenes en este juego de rol táctico que recuerda a los juegos de estrategia japoneses de la época de los 16 bits.
Exodemon,"12,99 €*","• Acción, Aventura, Disparos (Shooter)",13-05-2021,Un shooter en primera persona inspirado en los FPS de los 90.
Taxi Driver - The Simulation,"14,99 €*","• Arcade, Carreras, Simulación",13-05-2021,"Start your career as a taxi driver in the US City Hamside. Carry your customers safely and on time to their final destination, build a reputation and upgrade your Taxi."
Death Crown,"12,99 €*","• Acción, Estrategia, Simulación, Tablero",13-05-2021,"Death Crown is a minimalist real time strategy game in a 1bit style. You will be play Death herself, commanding her legions and punishing humanity's Kingdom for its overconfidence."
Super Shape Shooter,"3,99 €1,99 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",13-05-2021,"Jump 'n gun in a simple, fast-paced and hilarious fun multiplayer platformer and customize your shape with a stylish hat!"
Connection reHaunted,"6,66 €*","• Acción, Acción en primera persona (FPS), Aventura, Disparos (Shooter)",13-05-2021,<DE: david_30@nogravitygames.com> ASUNTO: CD raro
KASIORI,"7,00 €*",• Puzle,13-05-2021,Refreshy sweets falling block puzzle!
Preston Sterling and the Legend of Excalibur,"2,99 €*","• Aventura, Puzle",13-05-2021,"PRESTON STERLING AND THE LEGEND OF EXCALIBUR is an adventure that will transport you into the world of English myths and legends. Tackle tricky puzzles and enjoy an exciting story, lovable characters and stunning scenes and locations!"
Cooking Simulator - Pizza,"14,99 €*","• Arcade, Educativo, Estilo de vida, Simulación",13-05-2021,Aprende a hacer una auténtica pizza y dirige tu propia pizzería italiana.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Be a Poker Champion! Texas Hold'em,"9,99 €*","• Otros, Tablero, Utilidad",13-05-2021,"Póker Texas Hold'em, el clásico juego de casino ¡Disfruta gracias a su innovadora IA, ya seas un principiante o un jugador avanzado!"
Arcade Archives GUZZLER,"6,99 €*","• Acción, Arcade",13-05-2021,Put out the fires!
RWBY: Grimm Eclipse - Definitive Edition,"25,28 €*","• Acción, Aventura",13-05-2021,Forma equipo con tus amigos para salvar a Remnant
Fire: Ungh’s Quest,"5,99 €*","• Aventura, Puzle",12-05-2021,Viaja hasta la edad de piedra y enfréntate a la tarea más complicada de esta era: ¡la búsqueda del fuego!
Rift Racoon,"4,99 €*","• Acción, Plataformas",12-05-2021,¡Enfréntate a desafíos de plataformas extremos con tu mapache teletransportable!
Tested on Humans: Escape Room,"9,99 €*","• Aventura, Puzle",12-05-2021,"Eres el sujeto de prueba. En este escape room con un ambiente oscuro, tendrás que escapar del centro de investigación donde estás atrapado resolviendo puzzles. ¿Podrás escapar?"
Calculator,"8,99 €1,79 €*","• Educativo, Uso práctico",12-05-2021,
Jin Conception,"12,62 €*","• Aventura, Estrategia, Rol (RPG)",12-05-2021,Jin Conception es un JRPG thriller por turnos de fantasía y deducción social.
Retro Machina,"19,99 €*","• Acción, Arcade, Aventura",12-05-2021,Explora un mundo robótico y resuelve el misterio de una civilización perdida.
Fantasy Checkers,"7,99 €*","• Deportes, Educativo, Puzle, Tablero",10-05-2021,¡Captúralas todas!
Bob Esponja: Concurso de Cocina,"12,49 €*",• Simulación,10-05-2021,¡Cocinemos Cangreburguers!
International Basketball,"5,99 €*","• Deportes, Simulación",08-05-2021,"Demuestra tus habilidades, movimientos y fintas en este auténtico juego de baloncesto de ritmo rápido. En defensa, roba el balón a tus oponentes y en ataque, anota 2 o 3 puntos tirando o haciendo un mate."
Ninja Epic Adventure,"3,99 €*","• Arcade, Plataformas",07-05-2021,"Ayuda a tu amigo ninja y a sus amigos a atravesar 4 mundos y 36 niveles en este juego de plataformas de desplazamiento lateral. Derrota a los monstruos, recoge monedas y desbloquea armas y nuevos personajes."
Blink: Rogues,"9,99 €*","• Acción, Arcade, Aventura, Disparos (Shooter)",07-05-2021,"Blink: Rogues is a fast-paced top-down shooter that brings combat tactics, sharp reflexes and multi-lane combat under the same roof."
Super Disc Soccer,"3,99 €1,99 €*","• Arcade, Deportes, Fiesta",07-05-2021,A turn-based tactical soccer like game where you need to find the perfect angle or use a series of ricochets to score a goal and win the game !
Infestor,"4,99 €*","• Acción, Plataformas",07-05-2021,"¡Invade y conquista la colonia humana, nivel pixelado a nivel pixelado!"
Sector 781,"5,99 €*","• Acción, Disparos (Shooter), Plataformas",07-05-2021,
Lost Lands: The Wanderer,"13,99 €*","• Aventura, Puzle",07-05-2021,Es momento de empezar tu viaje para ayudar a un capitán fantasma y para salvar al mundo entero.
Power Racing Bundle 3,"24,99 €*","• Arcade, Carreras, Simulación",07-05-2021,"Este pack incluye los juegos: Speedway Racing, Speedtruck Racing y WildTrax Racing."
C14 Dating,"19,99 €*","• Aventura, Simulación",07-05-2021,"Un simulador de romance otome que combina la arqueología, la amistad y el amor."
Total Arcade Racing,"9,99 €*","• Arcade, Carreras, Deportes, Fiesta",07-05-2021,Revive los recuerdos de tu infancia y disfruta de este divertido juego de carreras arcade. Juega solo o con hasta ocho amigos en diferentes modos de juego en un solo televisor
Flowing Lights,"9,99 €*","• Acción, Arcade, Disparos (Shooter), Puzle",07-05-2021,"Flowing Lights es un juego de tirador con rompecabezas tipo arcade. Ataca y… ¡falla! Piénsalo bien y… ¡vuelve a intentarlo! Ya lo entiendes, ¿verdad? Mejora con cada intento!"
Beach Bounce Remastered,"8,99 €4,49 €*",• Aventura,06-05-2021,¡Salta entre chicas guapísimas en la playa!
2in1 - App Driver and Sniper,"1,98 €*","• Arcade, Carreras, Disparos (Shooter), Fiesta",06-05-2021,"2 juegos. Sea un conductor de aplicaciones que pueda atropellar a los peatones para recoger a sus clientes. En otras palabras, un francotirador.r."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Nongunz: Doppelganger Edition,"14,99 €*","• Acción, Disparos (Shooter), Plataformas",06-05-2021,Visita una mazmorra de pesadilla en constante transformación
Youkai Poetry,"5,99 €*",• Aventura,06-05-2021,"The sound of cicadas, the breeze of summer, Meeting you is a small miracle in my life."
Silver Falls Episode Prelude,"6,99 €*","• Acción, Aventura, Puzle",06-05-2021,¡Bienvenido a Silver Falls!
Arcade Archives THE ASTYANAX,"6,99 €*","• Acción, Arcade",06-05-2021,Wield the power of the Fire Axe and put an end to the dark lord's plans!
Train Station Renovation,"18,99 €1,89 €*","• Aventura, Simulación",06-05-2021,Bienvenido a una vieja y arruinada estación de tren. ¡Un lugar que te dará mucha diversión!
Sky Roll!,"4,99 €*","• Acción, Arcade, Aventura, Puzle",06-05-2021,¡Ábrete camino hacia la victoria!
Klondike Solitaire Collection,"7,99 €*","• Estrategia, Puzle, Tablero",06-05-2021,20 popular Klondike games in one
CyberHive,"8,19 €0,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",06-05-2021,"CyberHive is a strategic space travel simulator with a non-linear story, in the cosmic opera setting, and in an anime visual style."
Magical Girls,"4,25 €*","• Acción, Arcade, Puzle",06-05-2021,Break blocks and transform! Evolve your cute girl characters!The sexy block-busting game is now available for the Nintendo Switch™!
Football Drama,"9,99 €*","• Aventura, Deportes, Estrategia, Football Fútbol, Simulación",06-05-2021,"Eres entrenador Rocco Galliano. Entrena jugadores, elige tu propia narrativa, sobrevive al drama y juega partidos por turnos con cartas tácticas y decisiones."
